date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
13-04-2015,0,619,5735080,0.691741,66159,15443.58691,33.32390489
14-04-2015,0,763,5010540,0.656934,37452,15282.14597,47.5620825
15-04-2015,0,585,4724530,0.673307,21974,15330.18789,36.53702763
16-04-2015,0,709,4853110,0.678599,42962,15445.10469,43.4904453
17-04-2015,0,728,4903060,0.658304,27205,15496.1724,46.45964492
18-04-2015,0,701,4765990,0.694249,39375,15255.75381,56.74940458
19-04-2015,0,607,5023780,0.662209,15323,15384.91284,35.72557565
20-04-2015,0,629,4816330,0.678942,28005,14756.74083,36.69547245
21-04-2015,0,844,4968090,0.632725,101360,15570.06191,52.85628497
22-04-2015,0,757,4614040,0.576331,29956,15011.16065,46.00459969
23-04-2015,0,681,4221300,0.603233,45474,14874.72109,35.38935555
24-04-2015,0,689,4375970,0.569937,18883,15374.47403,36.26347227
25-04-2015,0,578,4205970,0.56474,77248,15301.64566,30.39286965
26-04-2015,0,572,4150550,0.556385,19954,15511.77674,31.87604371
27-04-2015,0,601,4105850,0.566088,26268,14637.60521,31.40354809
28-04-2015,0,593,4185340,0.47931,97890,15113.5205,33.74347108
29-04-2015,0,575,3589430,0.491526,29029,14995.51825,35.65023462
30-04-2015,0,585,3655310,0.501179,29589,14996.25307,36.00902307
01-05-2015,0,543,3734140,0.499998,13570,15010.35726,30.74727808
02-05-2015,0,567,3713670,0.497577,12363,14861.90017,34.39593613
03-05-2015,0,563,3675710,0.499079,13646,15116.35976,29.64523858
04-05-2015,0,546,3703540,0.467889,19414,14854.1311,31.1671739
05-05-2015,0,702,3476820,0.471166,22379,14849.62016,43.46667037
06-05-2015,0,621,3499060,0.458257,29928,14874.97435,33.26026594
07-05-2015,0,557,3407420,0.473934,29403,14890.7616,33.03693925
08-05-2015,0,512,3521290,0.490568,13967,14992.16612,27.80008405
09-05-2015,0,635,3711700,0.513693,33579,14978.17813,35.384467
10-05-2015,0,505,3900430,0.565103,25842,14669.86019,27.18250376
11-05-2015,0,489,4257390,0.511342,40270,14693.2056,28.02849779
12-05-2015,0,618,3900190,0.477612,27612,15094.17694,34.16275997
13-05-2015,0,661,3631200,0.483207,22340,14236.98265,42.10263692
14-05-2015,0,562,3685290,0.495548,24386,15015.81803,30.52260545
15-05-2015,0,601,3791680,0.544965,36937,14888.88929,28.36536289
16-05-2015,0,556,4187560,0.595673,48492,15126.90524,28.255999
17-05-2015,0,567,4589620,0.557216,38552,14753.26488,35.18931802
18-05-2015,0,559,4298940,0.535773,66440,15020.81102,31.7911007
19-05-2015,0,678,4122390,0.51466,64157,14215.15119,36.9132322
20-05-2015,0,1090,3975640,0.492917,62290,14946.94659,76.38015137
21-05-2015,0,709,3965800,0.462956,110387,14410.36919,36.71651983
22-05-2015,0,529,3620250,0.460764,52852,14493.62287,28.11811426
